Epoch,TrainingLoss,ValidationLoss,Accuracy,Precision,Recall,F1,Model,Dataset
1,0.681800,0.674490,0.598000,0.603321,0.636187,0.619318,lyeonii/bert-tiny,toxic_spans
2,0.668800,0.670096,0.602000,0.597973,0.688716,0.640145,lyeonii/bert-tiny,toxic_spans
3,0.670300,0.666867,0.603000,0.600688,0.678988,0.637443,lyeonii/bert-tiny,toxic_spans
4,0.660300,0.664531,0.610000,0.611913,0.659533,0.634831,lyeonii/bert-tiny,toxic_spans
5,0.672500,0.663929,0.611000,0.607573,0.686770,0.644749,lyeonii/bert-tiny,toxic_spans
6,0.663000,0.663563,0.610000,0.606897,0.684825,0.643510,lyeonii/bert-tiny,toxic_spans
1,0.656000,0.638185,0.637000,0.631763,0.704280,0.666053,lyeonii/bert-small,toxic_spans
2,0.621400,0.631261,0.658000,0.643813,0.749027,0.692446,lyeonii/bert-small,toxic_spans
3,0.631700,0.624218,0.654000,0.652727,0.698444,0.674812,lyeonii/bert-small,toxic_spans
4,0.557300,0.625797,0.653000,0.661509,0.665370,0.663434,lyeonii/bert-small,toxic_spans
5,0.574100,0.632562,0.656000,0.650177,0.715953,0.681481,lyeonii/bert-small,toxic_spans
6,0.561800,0.635651,0.660000,0.650000,0.733463,0.689214,lyeonii/bert-small,toxic_spans
1,0.649400,0.641921,0.635000,0.626058,0.719844,0.669683,lyeonii/bert-medium,toxic_spans
2,0.613100,0.622281,0.667000,0.660177,0.725681,0.691381,lyeonii/bert-medium,toxic_spans
3,0.619700,0.625885,0.667000,0.695464,0.626459,0.659161,lyeonii/bert-medium,toxic_spans
4,0.531000,0.628902,0.675000,0.690141,0.667315,0.678536,lyeonii/bert-medium,toxic_spans
5,0.545900,0.632654,0.671000,0.676864,0.688716,0.682739,lyeonii/bert-medium,toxic_spans
6,0.533200,0.635942,0.672000,0.673507,0.702335,0.687619,lyeonii/bert-medium,toxic_spans
1,0.637000,0.632026,0.657000,0.639935,0.760700,0.695111,google-bert/bert-base-uncased,toxic_spans
2,0.596000,0.622635,0.666000,0.650000,0.758755,0.700180,google-bert/bert-base-uncased,toxic_spans
3,0.583600,0.642025,0.667000,0.726817,0.564202,0.635268,google-bert/bert-base-uncased,toxic_spans
4,0.505300,0.659104,0.675000,0.687129,0.675097,0.681060,google-bert/bert-base-uncased,toxic_spans
5,0.482300,0.680277,0.662000,0.673913,0.663424,0.668627,google-bert/bert-base-uncased,toxic_spans
6,0.432700,0.696111,0.667000,0.671078,0.690661,0.680729,google-bert/bert-base-uncased,toxic_spans
1,0.619800,0.645085,0.660000,0.636792,0.787938,0.704348,google-bert/bert-large-uncased,toxic_spans
2,0.579100,0.613933,0.677000,0.667250,0.741245,0.702304,google-bert/bert-large-uncased,toxic_spans
3,0.513600,0.683220,0.642000,0.696970,0.536965,0.606593,google-bert/bert-large-uncased,toxic_spans
4,0.435700,0.746712,0.660000,0.648973,0.737354,0.690346,google-bert/bert-large-uncased,toxic_spans
5,0.345400,0.802558,0.649000,0.649541,0.688716,0.668555,google-bert/bert-large-uncased,toxic_spans
6,0.302500,0.846467,0.655000,0.662188,0.671206,0.666667,google-bert/bert-large-uncased,toxic_spans
1,0.675400,0.665371,0.589000,0.579109,0.733463,0.647210,JackBAI/roberta-medium,toxic_spans
2,0.623500,0.642025,0.640000,0.638989,0.688716,0.662921,JackBAI/roberta-medium,toxic_spans
3,0.630400,0.644277,0.647000,0.700748,0.546693,0.614208,JackBAI/roberta-medium,toxic_spans
4,0.578000,0.646503,0.650000,0.665992,0.640078,0.652778,JackBAI/roberta-medium,toxic_spans
5,0.601700,0.649980,0.644000,0.660569,0.632296,0.646123,JackBAI/roberta-medium,toxic_spans
6,0.592700,0.654057,0.632000,0.634191,0.671206,0.652174,JackBAI/roberta-medium,toxic_spans
1,0.628100,0.663585,0.652000,0.640678,0.735409,0.684783,FacebookAI/roberta-base,toxic_spans
2,0.599600,0.633651,0.651000,0.632000,0.768482,0.693591,FacebookAI/roberta-base,toxic_spans
3,0.575500,0.651201,0.665000,0.703872,0.601167,0.648478,FacebookAI/roberta-base,toxic_spans
4,0.508800,0.663772,0.654000,0.661538,0.669261,0.665377,FacebookAI/roberta-base,toxic_spans
5,0.467500,0.697674,0.649000,0.653484,0.675097,0.664115,FacebookAI/roberta-base,toxic_spans
6,0.467300,0.722339,0.645000,0.647495,0.678988,0.662868,FacebookAI/roberta-base,toxic_spans
1,0.667500,0.643663,0.643000,0.625199,0.762646,0.687117,FacebookAI/roberta-large,toxic_spans
2,0.623300,0.620374,0.658000,0.646259,0.739300,0.689655,FacebookAI/roberta-large,toxic_spans
3,0.613000,0.642339,0.666000,0.729592,0.556420,0.631347,FacebookAI/roberta-large,toxic_spans
4,0.552300,0.625239,0.663000,0.658318,0.715953,0.685927,FacebookAI/roberta-large,toxic_spans
5,0.498600,0.649611,0.659000,0.654741,0.712062,0.682199,FacebookAI/roberta-large,toxic_spans
6,0.498000,0.673449,0.666000,0.654110,0.743191,0.695811,FacebookAI/roberta-large,toxic_spans
